Query_Id,query,label,comments
111,The subscription auto-renewed without notifying me. I am so disappointed,Complaint,
112,Your store did not honor the sale price displayed on the website.,Complaint,
113,Why does the tracking system show that my package is still in transit?,Inquiry,Could use some more context. Did the package arrive and still showing in transit.
114,Your service downtime caused major inconvenience to my work.,Complaint,
115,The item I ordered looks completely different from the photos online.,Complaint,
116,Your company failed to notify me about changes in the subscription policy.,Complaint,
117,I was offered a discount that was not applied to my final bill.,Complaint,
118,The customer service line always busy when I call?,Complaint,
119,Please cancel my subscription immediately.,Request for action,
120,Can you update my billing address to my new location?,Request for action,
121,I need assistance reactivating my account.,Request for action,
122,Can you expedite the delivery for my order?,Request for action,
123,Please change my email preferences to receive fewer notifications.,Request for action,
124,Can I request a product replacement for the damaged item I received?,Inquiry,
125,I want to upgrade my subscription to a premium plan.,Unclear,Expresses only what the customer wants to do. But do not provide information whether they are expressing their interest or requesting help to upgrade the plan
126,Can you help me transfer my account to a new email address?,Request for action,
127,I need to reset my account password; can you guide me?,Request for action,
128,Please add a note to my order to deliver after 5 PM.,Request for action,
129,I want to  request an invoice for my recent purchase.,Request for action,
130,Can you deactivate my old account and merge it with my new one?,Request for action,
131,Please issue a refund for my canceled order.,Request for action,
132,I am out and cannot receive my order. Can I reschedule the delivery date?,Request for action,
133,Can you escalate this issue to a higher authority for resolution?,Request for action,
134,Please enable two-factor authentication for my account.,Request for action,
135,I need assistance in canceling my auto-renewal subscription.,Request for action,
136,Can you update my contact number for future correspondence?,Request for action,
137,I would like to deactivate notifications for promotional offers.,Unclear,Need more context.
138,Can you reverse the additional charges on my bill?,Request for action,
139,Please enable international shipping for my account.,Request for action,
140,I need a copy of my transaction history for tax purposes.,Request for action,
141,Can you provide a detailed breakdown of my last invoice?,Request for action,
142,I would like to request priority service for my technical issue.,Request for action,
143,Please upgrade my membership status to include premium features.,Request for action,
144,Can you transfer my credits to another account I own?,Request for action,
145,What are your shipping options?,Inquiry,
146,Can you explain the benefits of upgrading to a premium plan?,Inquiry,
147,Where can I find information about your return policy?,Inquiry,
148,What payment methods do you accept?,Inquiry,
149,How can I track my order after placing it?,Inquiry,
150,Do you offer discounts for first-time customers?,Inquiry,
151,Where can I check my loyalty points balance?,Inquiry,
152,How does your referral program work?,Inquiry,
153,What is the warranty on the product I bought?,Inquiry,
154,What are your business hours for customer support?,Inquiry,
155,Can I buy a gift card for your store?,Inquiry,
156,Where can I find tutorials for using your product?,Inquiry,
157,Is there a difference between the basic and premium subscription?,Inquiry,
158,Can you provide details about your ongoing sales or offers?,Inquiry,
159,What is the delivery time for international orders?,Inquiry,
160,Do you have a size guide for your clothing items?,Inquiry,
161,How do I reset my account password?,Inquiry,
162,Can I modify my order after I placed it?,Inquiry,
163,"Where can I download your app, and is it free?",Inquiry,
164,What is the process for verifying my account?,Inquiry,
165,Do you offer corporate or bulk purchasing discounts?,Inquiry,
166,Can I pause my subscription temporarily?,Inquiry,
167,Are there any hidden fees in your pricing?,Inquiry,
168,Can you explain your cancellation policy in detail?,Inquiry,
169,What is the minimum order value for free shipping?,Inquiry,
170,Is there a trial period for the premium service?,Inquiry,
171,What is the estimated time for my refund to be processed?,Inquiry,
172,Where can I find information about the materials used in your products?,Inquiry,
173,Do you offer any environmentally friendly packaging options?,Inquiry,
174,Can I get a breakdown of the charges on my recent bill?,Request for action,
175,What is the difference between your individual and family plans?,Inquiry,
176,Can I switch my subscription plan midway through the billing cycle?,Inquiry,
177,What is the eligibility for using student discounts?,Inquiry,
178,Do you have a helpline number for immediate assistance?,Inquiry,
179,How do I find out if your service is available in my area?,Inquiry,
